"filename", "language", "C++", "comment", "blank", "total"
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/Application.cpp", "C++", 70, 94, 35, 199
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/Application.h", "C++", 33, 11, 14, 58
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ServiceLocator.cpp", "C++", 7, 0, 2, 9
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ServiceLocator.h", "C++", 34, 8, 8, 50
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewLocator.cpp", "C++", 7, 0, 2, 9
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewLocator.h", "C++", 34, 8, 8, 50
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewModelsLocator.cpp", "C++", 7, 0, 2, 9
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewModelsLocator.h", "C++", 34, 8, 8, 50
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Database/DatabaseManager.cpp", "C++", 39, 0, 6, 45
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Database/DatabaseManager.h", "C++", 12, 0, 6, 18
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.cpp", "C++", 26, 0, 3, 29
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.h", "C++", 45, 10, 8, 63
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.cpp", "C++", 128, 0, 28, 156
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.h", "C++", 24, 0, 7, 31
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.cpp", "C++", 63, 1, 19, 83
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.h", "C++", 21, 8, 7, 36
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.cpp", "C++", 56, 0, 12, 68
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.h", "C++", 33, 6, 9, 48
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthNetworkService.h", "C++", 28, 10, 10, 48
"/Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthService.h", "C++", 24, 8, 6, 38
