Date : 2026-03-02 15:58:32
Directory : /Users/remidesbordes/Documents/Teams/TeamsClient_/src
Total : 72 files,  2271 codes, 357 comments, 645 blanks, all 3273 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         72 |      2,271 |        357 |        645 |      3,273 |
+----------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/AuthView.h                     | C++      |         20 |          8 |          7 |         35 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/LoginForm.cpp                  | C++      |         17 |          0 |          6 |         23 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/LoginForm.h                    | C++      |         16 |          7 |          6 |         29 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/RegisterForm.cpp               | C++      |         21 |          0 |          7 |         28 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/RegisterForm.h                 | C++      |         18 |          7 |          6 |         31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Loading/LoadingView.cpp             | C++      |         17 |          0 |          6 |         23 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Loading/LoadingView.h               | C++      |         15 |          0 |          6 |         21 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Local/LocalVideo.cpp          | C++      |         52 |          6 |         14 |         72 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Local/LocalVideo.h            | C++      |         25 |          0 |          8 |         33 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Remote/RemoteVideo.cpp        | C++      |         23 |          1 |          7 |         31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Remote/RemoteVideo.h          | C++      |         18 |          1 |          3 |         22 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Visio.cpp                     | C++      |         50 |          4 |         14 |         68 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Visio.h                       | C++      |         28 |          0 |         10 |         38 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Workspace/WorkspaceView.cpp         | C++      |         14 |         25 |         16 |         55 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Workspace/WorkspaceView.h           | C++      |         27 |          0 |          9 |         36 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/mainwindow.cpp                      | C++      |         54 |          2 |         17 |         73 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/mainwindow.h                        | C++      |         36 |          8 |          8 |         52 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/includes.h                                | C++      |         65 |         13 |         23 |        101 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/main.cpp                                  | C++      |          6 |          0 |          1 |          7 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/webrtc_includes.h                         | C++      |         25 |          4 |          2 |         31 |
| Total                                                                                           |          |      2,271 |        357 |        645 |      3,273 |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
