Date : 2026-03-02 15:59:09
Directory : /Users/remidesbordes/Documents/Teams/TeamsServer_/src
Total : 138 files,  -721 codes, -87 comments, -259 blanks, all -1067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        138 |       -721 |        -87 |       -259 |     -1,067 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.cpp                                | C++      |        -26 |          0 |         -3 |        -29 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.h                                  | C++      |        -45 |        -10 |         -8 |        -63 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.cpp                | C++      |       -128 |          0 |        -28 |       -156 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.h                  | C++      |        -24 |          0 |         -7 |        -31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.cpp           | C++      |        -63 |         -1 |        -19 |        -83 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.h             | C++      |        -21 |         -8 |         -7 |        -36 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.cpp                  | C++      |        -56 |          0 |        -12 |        -68 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.h                    | C++      |        -33 |         -6 |         -9 |        -48 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthNetworkService.h      | C++      |        -28 |        -10 |        -10 |        -48 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthService.h             | C++      |        -24 |         -8 |         -6 |        -38 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/ISessionService.h          | C++      |        -21 |          0 |         -5 |        -26 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IUserService.h             | C++      |        -20 |          0 |         -5 |        -25 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Network/NetworkService.cpp            | C++      |        -66 |          0 |        -15 |        -81 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Network/NetworkService.h              | C++      |        -21 |          0 |         -8 |        -29 |
